,身高,体重,性别,年龄,学历,受教育时间(年),每周工作时长,职业
2885,154.43,68.02,女,65,高中,9,40,教育
2886,161.35,61.59,男,39,高中,9,50,教育
2887,167.62,82.02,女,19,高中,9,40,销售
2888,158.56,60.0,女,34,硕士,13,40,教育
2889,152.51,52.55,男,36,高中,9,45,教育
2890,162.53,65.49,女,40,高中,9,40,教育
2891,166.15,72.96,女,90,本科,10,40,教育
2892,156.41,69.89,男,56,硕士,15,16,教育
2893,145.19,59.45,女,21,高中,9,40,教育
2894,162.14,66.21,男,48,硕士,13,45,教育
2895,159.16,80.24,女,45,本科,10,27,教育
2896,157.55,65.76,男,46,高中,9,40,服务
2897,167.89,81.74,女,64,高中,6,35,服务
2898,156.51,77.15,男,29,硕士,14,40,教育
2899,155.27,71.36,女,22,高中,9,30,服务
2900,161.39,81.96,男,47,高中,9,48,服务
2901,168.38,86.78,男,67,硕士,13,75,教育
2902,154.36,76.24,男,43,高中,9,40,服务
2903,152.62,74.37,男,42,本科,10,40,销售
2904,163.17,49.11,男,31,本科,10,50,销售
2905,160.63,60.63,女,53,高中,7,40,销售
2906,161.8,75.9,女,81,高中,5,5,销售
2907,154.23,55.91,女,33,高中,9,40,教育
2908,157.74,64.23,女,17,高中,8,8,教育
2909,170.66,78.17,男,55,硕士,15,50,教育
2910,162.86,60.19,男,28,高中,9,30,服务
2911,165.9,56.46,女,24,本科,10,40,销售
2912,153.22,47.29,女,40,高中,9,45,教育
2913,165.5,72.64,女,30,硕士,14,40,教育
2914,161.69,73.32,女,24,高中,7,40,服务
2915,156.07,65.46,女,26,硕士,14,40,销售
2916,158.36,52.77,女,38,本科,10,38,销售
2917,151.61,72.17,男,30,高中,9,40,服务
2918,165.19,76.0,男,33,硕士,13,50,教育
2919,154.18,64.38,男,40,高中,9,60,销售
2920,158.93,80.51,男,63,高中,9,98,销售
2921,147.54,66.15,男,23,初中及以下,4,36,销售
2922,157.61,76.7,男,56,高中,9,40,销售
2923,165.81,61.09,男,42,博士,11,60,教育
2924,158.98,75.64,男,40,高中,9,40,教育
2925,153.72,53.89,女,49,博士,12,40,销售
2926,161.61,71.19,男,35,高中,9,40,销售
2927,152.12,65.38,女,52,高中,9,35,服务
2928,158.77,67.85,女,28,硕士,13,40,教育
2929,161.27,60.08,男,35,高中,6,70,服务
2930,172.34,72.06,女,21,本科,10,5,服务
2931,148.38,69.45,男,43,高中,9,35,服务
2932,154.71,75.36,女,32,博士,11,2,服务
2933,154.14,70.5,男,29,硕士,15,50,教育
2934,162.85,84.29,男,23,硕士,13,25,服务
2935,172.55,54.67,男,50,本科,10,48,教育
2936,159.71,71.31,男,34,本科,10,40,教育
2937,157.13,76.68,男,19,高中,9,40,教育
2938,180.58,59.25,女,47,高中,7,40,服务
2939,148.51,44.9,男,37,本科,10,40,服务
2940,152.6,52.97,女,25,高中,9,35,销售
2941,156.99,58.49,男,75,本科,10,35,教育
2942,149.83,48.39,男,24,高中,9,40,教育
2943,156.83,51.79,男,28,硕士,13,20,服务
2944,161.35,56.45,女,17,高中,7,16,服务
2945,156.65,61.93,男,31,高中,9,40,服务
2946,154.05,43.98,女,31,初中及以下,1,35,服务
2947,157.28,59.64,男,18,高中,9,10,服务
2948,162.54,62.87,男,45,硕士,13,55,教育
2949,159.83,80.62,男,31,高中,9,42,教育
2950,153.1,58.36,男,27,硕士,13,42,教育
2951,157.35,52.25,女,48,本科,10,38,教育
2952,151.99,51.59,女,22,高中,9,22,教育
2953,151.62,57.12,男,34,硕士,13,30,教育
2954,166.07,70.6,女,26,高中,9,40,服务
2955,162.71,48.93,男,53,本科,10,40,教育
2956,154.22,47.06,男,60,硕士,13,35,教育
2957,165.0,64.36,女,49,硕士,14,50,教育
2958,155.3,64.73,女,40,本科,10,40,教育
2959,162.65,47.67,男,48,高中,6,80,教育
2960,156.54,75.09,男,23,硕士,13,50,教育
2961,159.77,52.97,男,68,初中及以下,4,10,教育
2962,156.88,60.53,男,42,博士,11,40,教育
2963,158.44,74.25,男,37,高中,9,85,教育
2964,156.62,63.31,女,27,高中,9,45,教育
2965,153.08,55.58,男,38,本科,10,44,教育
2966,157.26,76.9,男,27,高中,9,35,教育
2967,166.42,55.69,女,75,高中,9,40,教育
2968,148.58,65.41,男,49,硕士,13,52,销售
2969,164.67,64.05,男,27,本科,10,20,销售
2970,154.58,43.92,男,36,硕士,13,50,销售
2971,157.89,70.41,男,36,硕士,13,45,教育
2972,160.76,61.77,男,35,高中,9,35,服务
2973,165.07,49.91,男,36,高中,9,40,销售
2974,162.2,72.72,男,53,高中,7,40,销售
2975,162.33,61.88,女,27,本科,10,40,教育
2976,161.1,65.59,男,34,高中,9,35,教育
2977,145.38,48.12,男,61,本科,10,44,销售
2978,157.2,48.19,男,29,高中,9,56,服务
2979,150.34,62.73,女,40,本科,10,35,教育
2980,165.16,50.73,男,37,硕士,14,40,教育
2981,158.16,79.48,男,22,高中,5,30,服务
2982,154.99,67.19,男,43,本科,10,40,教育
2983,157.08,51.36,男,55,高中,9,30,教育
2984,154.94,45.97,女,28,本科,10,40,教育
2985,157.27,58.56,女,23,硕士,13,30,教育
2986,168.97,89.54,男,64,高中,7,40,教育
2987,148.11,51.16,男,46,本科,10,40,服务
2988,168.05,76.54,男,29,本科,10,40,服务
2989,156.84,57.28,男,44,硕士,14,48,教育
2990,163.17,78.05,男,20,本科,10,25,教育
2991,155.49,76.04,男,62,本科,10,40,销售
2992,164.66,78.26,女,49,博士,11,35,教育
2993,152.47,44.91,女,29,高中,6,40,教育
2994,155.75,69.42,男,35,硕士,13,60,销售
2995,156.6,45.79,男,39,高中,7,30,服务
2996,155.27,65.68,男,39,硕士,13,45,教育
2997,161.18,48.53,女,37,高中,9,32,服务
2998,158.44,52.41,男,38,高中,9,30,服务
2999,157.29,73.72,男,72,高中,9,8,服务
3000,152.1,55.76,男,31,初中及以下,4,40,服务
3001,164.18,67.04,男,55,初中及以下,4,60,服务
3002,156.75,52.72,女,38,本科,10,40,服务
3003,150.84,52.88,女,33,本科,10,25,销售
3004,164.56,49.78,女,25,博士,12,40,教育
3005,151.69,48.29,男,19,本科,10,30,教育
3006,156.97,45.6,女,37,博士,11,52,服务
3007,155.51,53.74,男,49,本科,10,35,服务
3008,155.05,46.1,男,26,高中,9,40,服务
3009,160.51,48.06,男,35,高中,9,43,服务
3010,152.77,72.2,女,44,高中,9,60,销售
3011,168.01,85.97,男,37,硕士,14,45,教育
3012,163.64,52.83,男,42,硕士,13,45,教育
3013,171.19,53.77,女,64,博士,16,40,教育
3014,152.87,44.53,男,28,高中,9,40,服务
3015,162.45,64.93,男,35,高中,9,50,教育
3016,164.4,66.69,男,40,硕士,13,40,教育
3017,169.6,91.73,男,55,硕士,13,40,教育
3018,157.93,55.28,男,21,高中,9,65,教育
3019,153.42,72.4,女,49,本科,10,40,教育
3020,154.83,67.63,男,51,博士,16,40,教育
3021,167.39,79.51,男,57,硕士,15,40,教育
3022,173.08,67.5,男,51,硕士,13,40,教育
3023,157.42,72.07,男,38,高中,6,40,教育
3024,156.68,75.0,女,24,高中,9,32,销售
3025,157.97,77.1,男,45,高中,9,40,销售
3026,153.59,62.45,男,28,高中,9,45,服务
3027,160.12,57.42,男,42,硕士,15,60,教育
3028,160.41,58.73,男,22,本科,10,40,教育
3029,145.14,59.72,男,28,硕士,14,40,教育
3030,153.0,67.34,女,60,高中,9,40,服务
3031,147.7,68.39,女,31,高中,9,40,服务
3032,157.01,71.11,男,47,本科,10,75,服务
3033,165.88,77.89,男,40,高中,9,25,服务
3034,153.47,55.47,男,30,高中,9,60,教育
3035,160.9,48.32,男,61,硕士,14,60,销售
3036,163.16,61.11,女,71,硕士,13,6,教育
3037,158.2,67.95,女,42,高中,9,40,教育
3038,159.48,56.93,男,44,高中,8,55,教育
3039,160.3,64.01,男,46,本科,10,60,销售
3040,155.18,75.91,女,50,硕士,15,52,教育
3041,162.36,83.29,男,27,硕士,13,9,教育
3042,158.47,58.78,男,40,博士,11,15,教育
3043,149.61,62.39,女,21,本科,10,40,教育
3044,155.02,51.12,男,25,高中,9,35,服务
3045,147.78,55.7,男,61,初中及以下,3,56,服务
3046,162.16,78.17,男,54,本科,10,30,教育
3047,165.48,55.37,男,31,硕士,13,40,销售
3048,160.83,73.39,男,53,本科,10,30,销售
3049,163.93,80.02,男,39,博士,12,55,教育
3050,153.8,46.76,男,57,硕士,15,50,服务
3051,168.43,76.99,女,48,硕士,13,44,销售
3052,157.76,67.3,男,30,本科,10,56,服务
3053,162.8,67.51,男,35,高中,9,60,服务
3054,168.92,72.03,男,42,高中,9,50,教育
3055,161.28,65.17,男,34,高中,9,40,服务
3056,155.71,49.82,男,59,高中,9,40,销售
3057,150.35,42.48,男,69,高中,6,20,教育
3058,164.07,70.43,女,29,本科,10,40,教育
3059,152.25,64.5,男,40,高中,9,40,服务
3060,154.52,76.05,男,21,本科,10,15,服务
3061,164.32,84.72,女,40,博士,12,40,教育
3062,158.61,79.6,男,43,本科,10,40,教育
3063,147.32,47.55,男,36,高中,9,40,服务
3064,160.31,70.05,男,41,高中,9,40,教育
3065,148.03,40.61,男,72,高中,9,30,教育
3066,169.99,86.88,男,20,本科,10,30,服务
3067,149.69,63.29,女,41,硕士,13,40,教育
3068,155.71,67.81,男,34,本科,10,50,教育
3069,150.31,53.72,女,48,高中,7,40,教育
3070,168.2,52.69,女,27,高中,9,40,教育
3071,157.72,51.18,男,35,本科,10,60,教育
3072,161.45,64.05,男,28,高中,9,40,教育
3073,150.34,69.1,男,27,高中,9,40,教育
3074,157.01,46.94,男,20,本科,10,40,销售
3075,167.53,55.07,女,18,本科,10,15,销售
3076,171.02,81.35,男,32,硕士,13,40,销售
3077,153.9,47.82,男,38,硕士,14,60,教育
3078,163.26,66.44,男,23,本科,10,40,教育
3079,171.41,70.05,男,28,硕士,13,45,教育
3080,165.02,68.38,男,40,硕士,15,38,教育
3081,170.5,81.17,女,35,高中,9,40,服务
3082,160.21,63.76,男,74,本科,10,40,教育
3083,153.01,46.86,男,28,高中,9,40,教育
3084,162.47,74.92,男,23,本科,10,30,服务
3085,157.05,54.94,男,20,本科,10,10,服务
3086,151.98,62.22,女,44,高中,9,56,服务
3087,158.85,49.12,女,46,高中,9,25,教育
3088,158.03,61.44,男,20,本科,10,40,教育
3089,156.94,72.88,男,51,硕士,13,50,销售
3090,166.99,69.18,女,40,本科,10,40,教育
3091,157.18,49.45,男,48,硕士,15,40,服务
3092,157.15,61.76,男,60,高中,5,84,服务
3093,160.84,50.1,男,48,硕士,13,40,教育
3094,151.26,45.4,女,46,硕士,13,70,教育
3095,151.85,68.23,男,48,硕士,13,40,教育
3096,158.11,51.02,女,22,高中,9,35,教育
3097,158.39,80.0,女,24,硕士,13,40,教育
3098,163.34,60.18,女,45,本科,10,40,教育
3099,167.19,60.49,女,18,高中,8,35,销售
3100,160.28,60.84,男,39,高中,9,40,服务
3101,160.64,54.09,男,65,高中,9,65,服务
3102,166.54,60.49,女,22,本科,10,40,服务
3103,152.5,71.17,女,20,本科,10,20,服务
3104,160.44,67.41,男,28,本科,10,40,销售
3105,152.28,46.37,男,46,硕士,15,50,教育
3106,150.75,64.87,男,42,硕士,13,48,教育
3107,166.73,64.29,男,61,博士,16,40,教育
3108,145.44,65.89,男,28,本科,10,50,教育
3109,153.5,56.67,女,18,本科,10,20,销售
3110,162.11,73.45,男,24,硕士,13,40,教育
3111,151.57,63.47,男,45,博士,16,56,教育
3112,154.56,60.11,男,24,高中,9,40,教育
3113,157.34,76.57,男,44,硕士,13,50,教育
3114,151.54,68.68,男,20,本科,10,30,教育
3115,157.97,53.9,男,35,本科,10,55,服务
3116,154.62,56.67,男,52,硕士,13,60,销售
3117,160.43,61.16,男,25,博士,12,45,销售
3118,153.85,52.53,男,19,初中及以下,3,36,销售
3119,156.3,70.96,男,35,硕士,13,20,销售
3120,150.61,48.26,女,54,本科,10,40,教育
3121,161.7,77.61,男,21,本科,10,40,教育
3122,150.02,55.23,女,26,高中,9,40,教育
3123,159.03,79.67,女,42,博士,11,40,教育
3124,154.19,50.34,女,19,本科,10,40,教育
3125,163.5,74.85,男,55,硕士,14,50,教育
3126,157.61,49.19,男,44,高中,9,40,教育
3127,156.54,51.65,男,25,硕士,13,55,教育
3128,152.45,54.01,男,26,本科,10,40,服务
3129,158.45,64.67,女,64,博士,12,40,教育
3130,167.01,56.36,女,41,高中,7,40,教育
3131,160.61,50.7,男,25,本科,10,40,教育
3132,153.54,43.52,男,43,本科,10,40,服务
3133,142.87,57.09,男,45,高中,9,48,服务
3134,152.78,66.52,男,48,硕士,13,44,教育
3135,165.72,59.84,男,60,高中,9,40,服务
3136,162.58,76.45,男,45,本科,10,50,服务
3137,174.38,60.23,男,51,高中,6,40,销售
3138,159.73,67.16,女,37,高中,9,40,教育
3139,166.66,86.54,男,22,本科,10,30,教育
3140,161.01,81.13,男,44,高中,9,65,教育
3141,157.47,63.78,男,27,高中,9,50,教育
3142,153.97,60.96,男,47,高中,9,40,教育
3143,159.32,48.27,男,32,硕士,14,40,教育
3144,161.15,59.6,男,40,硕士,13,50,教育
3145,163.89,74.14,男,41,高中,9,40,销售
3146,167.31,63.62,女,32,高中,6,40,销售
3147,158.31,55.07,女,26,硕士,13,40,教育
3148,159.36,47.06,男,47,本科,10,40,教育
3149,151.41,49.26,男,55,高中,9,45,教育
3150,166.53,65.04,男,38,高中,9,40,服务
3151,166.11,86.11,男,24,硕士,13,15,教育
3152,151.23,51.44,男,64,博士,16,25,教育
3153,158.61,54.81,男,56,硕士,13,40,教育
3154,167.89,57.12,男,41,高中,9,49,销售
3155,150.8,55.18,男,33,高中,9,45,销售
3156,160.9,74.49,男,33,硕士,15,42,教育
3157,158.06,71.13,男,21,本科,10,40,教育
3158,162.52,54.57,男,59,高中,9,40,教育
3159,157.31,73.02,男,58,博士,11,40,教育
3160,144.4,62.36,男,43,硕士,14,40,教育
3161,164.2,71.08,男,21,高中,9,40,教育
3162,161.38,60.73,男,45,高中,9,40,服务
3163,152.86,63.8,女,53,高中,9,50,教育
3164,167.25,60.79,男,41,硕士,15,50,教育
3165,162.82,81.78,女,27,高中,6,40,教育
3166,161.13,71.38,男,53,本科,10,50,教育
3167,166.55,85.48,男,38,硕士,14,35,教育
3168,161.9,68.92,男,31,硕士,13,70,教育
3169,149.48,69.45,男,41,高中,9,35,服务
3170,164.74,53.99,女,22,本科,10,40,教育
3171,156.55,52.66,男,43,硕士,14,60,销售
3172,154.79,47.29,男,41,本科,10,40,教育
3173,169.96,57.72,女,27,本科,10,35,服务
3174,167.04,72.16,男,41,本科,10,40,教育
3175,154.12,48.06,男,36,硕士,15,45,教育
3176,144.66,51.29,女,49,硕士,13,40,教育
3177,155.75,45.53,男,20,高中,9,45,服务
3178,150.61,41.64,女,58,高中,9,45,服务
3179,161.78,50.8,女,35,高中,8,40,服务
3180,155.54,50.26,男,30,高中,9,40,服务
3181,147.42,41.34,男,21,高中,9,40,服务
3182,159.53,50.94,男,29,博士,12,45,服务
3183,153.13,51.1,女,40,高中,9,40,销售
3184,154.51,58.75,女,54,硕士,13,40,教育
3185,146.21,65.75,男,35,硕士,13,60,销售
3186,145.12,56.18,男,35,硕士,13,50,销售
3187,153.12,43.04,女,40,硕士,13,40,销售
3188,155.24,65.06,女,59,高中,9,40,销售
3189,155.52,44.31,男,43,本科,10,50,服务
3190,151.29,72.39,男,39,高中,6,60,服务
3191,164.68,58.34,女,51,初中及以下,4,30,服务
3192,149.66,59.15,女,71,本科,10,60,服务
3193,164.8,71.56,女,33,高中,8,40,服务
3194,159.38,49.44,男,28,高中,9,35,服务
3195,146.52,40.55,男,30,高中,9,40,销售
3196,151.09,52.95,男,20,初中及以下,3,40,销售
3197,160.49,65.26,男,51,高中,9,50,销售
3198,148.69,69.26,女,39,高中,9,40,服务
3199,165.25,77.75,男,62,本科,10,40,销售
3200,157.11,55.15,男,37,高中,9,60,教育
3201,158.58,55.06,男,28,高中,5,50,服务
3202,162.92,49.17,男,23,高中,9,48,销售
3203,152.56,54.92,女,39,硕士,13,30,销售
3204,162.56,70.99,男,50,硕士,13,65,销售
3205,154.12,43.19,男,31,初中及以下,4,40,销售
3206,156.23,65.17,男,45,硕士,13,50,教育
3207,144.47,52.21,男,23,硕士,13,40,教育
3208,162.13,53.19,男,47,高中,6,40,服务
3209,160.0,66.02,女,59,高中,9,18,教育
3210,157.65,46.25,男,32,博士,12,40,服务
3211,157.85,56.48,男,82,初中及以下,4,5,服务
3212,162.72,71.03,男,49,硕士,13,55,销售
3213,157.31,66.27,男,74,高中,9,17,销售
3214,154.59,53.08,男,22,本科,10,35,教育
3215,154.62,50.93,男,32,本科,10,55,教育
3216,160.37,65.58,男,34,硕士,13,50,教育
3217,158.12,60.55,男,59,硕士,13,60,教育
3218,165.83,63.66,男,36,硕士,13,50,销售
3219,158.02,55.96,女,59,高中,7,40,教育
3220,166.68,81.28,男,47,硕士,13,70,教育
3221,161.2,62.66,男,53,高中,9,45,教育
3222,158.31,75.46,男,25,本科,10,35,教育
3223,162.29,82.64,男,44,硕士,13,65,教育
3224,159.99,66.55,女,57,硕士,15,35,销售
3225,170.34,85.57,男,42,硕士,13,80,销售
3226,157.58,76.09,男,58,高中,6,40,服务
3227,160.38,76.21,男,39,硕士,13,40,销售
3228,164.08,85.72,男,32,高中,9,40,销售
3229,146.31,48.95,男,45,初中及以下,4,48,服务
3230,145.87,41.55,女,47,硕士,13,35,教育
3231,161.39,63.74,男,52,本科,10,50,教育
3232,152.93,73.87,男,56,初中及以下,2,25,教育
3233,158.94,57.73,女,52,高中,9,40,服务
3234,160.34,68.52,女,34,高中,9,35,服务
3235,149.13,47.82,男,36,初中及以下,4,35,服务
3236,152.12,45.42,男,41,高中,9,40,服务
3237,166.04,82.87,男,30,本科,10,40,教育
3238,161.41,60.66,男,44,硕士,13,40,教育
3239,159.94,61.16,女,17,本科,10,40,教育
3240,166.92,59.85,女,34,本科,10,40,教育
3241,161.73,63.05,男,41,本科,10,40,教育
3242,154.32,59.41,男,29,高中,9,40,服务
3243,147.13,42.48,男,25,高中,5,48,服务
3244,156.93,58.08,男,42,硕士,13,40,教育
3245,157.05,50.92,男,48,本科,10,40,销售
3246,163.07,78.44,男,26,博士,11,55,销售
3247,160.75,64.1,女,64,高中,9,40,教育
3248,150.39,56.65,男,46,硕士,13,45,销售
3249,165.0,70.81,男,38,硕士,13,50,教育
3250,156.41,44.57,男,49,高中,7,40,教育
3251,153.5,69.82,女,23,本科,10,20,销售
3252,162.38,66.54,女,46,硕士,13,40,教育
3253,173.2,71.27,男,30,高中,9,55,服务
3254,157.6,71.12,男,49,高中,9,40,服务
3255,153.11,51.98,男,47,博士,11,40,服务
3256,151.61,66.53,男,44,硕士,13,50,教育
3257,155.93,52.31,男,31,高中,9,50,教育
3258,157.04,63.36,男,19,高中,9,50,服务
3259,163.74,82.31,女,45,博士,12,38,教育
3260,160.22,50.54,男,34,硕士,13,40,教育
3261,162.52,56.26,男,26,高中,9,40,教育
3262,146.76,58.83,男,38,高中,9,40,服务
3263,168.4,76.57,女,31,本科,10,43,教育
3264,150.94,43.09,男,36,博士,12,50,教育
3265,159.46,67.93,男,31,硕士,13,60,教育
3266,158.96,70.13,男,30,硕士,13,40,服务
3267,156.86,64.37,男,37,高中,9,40,教育
3268,153.64,50.03,男,30,硕士,13,50,教育
3269,159.2,46.17,女,21,高中,9,30,教育
3270,165.34,66.06,女,73,高中,6,10,教育
3271,169.51,59.54,男,38,硕士,14,40,教育
3272,169.41,55.41,男,30,高中,6,50,教育
3273,158.8,53.13,男,33,高中,9,50,教育
3274,147.94,55.2,男,52,硕士,13,40,教育
3275,154.27,45.2,女,58,本科,10,46,教育
3276,157.45,59.1,女,34,硕士,14,50,教育
3277,158.99,61.12,男,35,高中,9,40,教育
3278,153.71,43.63,男,59,高中,9,40,教育
3279,155.65,44.45,女,45,硕士,13,40,教育
3280,151.21,49.13,男,27,本科,10,48,服务
3281,156.38,49.93,男,31,博士,16,50,教育
3282,162.07,77.32,男,45,本科,10,50,教育
3283,155.36,52.57,女,40,高中,9,25,教育
3284,161.31,59.5,男,27,硕士,15,40,教育
3285,161.26,65.0,男,19,高中,9,20,教育
3286,155.98,43.87,男,29,初中及以下,3,25,教育
3287,170.49,60.61,男,34,本科,10,72,教育
3288,161.23,67.51,男,32,博士,12,40,教育
3289,166.8,57.32,男,49,高中,7,40,教育
3290,154.77,69.37,女,33,高中,7,40,教育
3291,169.11,58.85,男,74,初中及以下,4,2,教育
3292,151.03,55.04,男,62,硕士,13,50,教育
3293,153.39,71.81,男,39,高中,9,40,教育
3294,166.53,62.53,女,43,高中,9,40,教育
3295,150.15,49.65,女,22,本科,10,60,服务
3296,154.61,60.88,男,24,高中,9,45,服务
3297,156.72,65.99,男,76,高中,9,40,服务
3298,158.01,49.48,女,25,本科,10,40,服务
3299,163.75,52.16,女,19,本科,10,28,销售
3300,156.54,57.6,女,31,博士,12,41,教育
3301,154.58,65.69,女,53,高中,7,40,教育
3302,163.99,57.63,男,61,高中,9,3,教育
3303,160.16,74.35,男,47,硕士,13,40,教育
3304,155.88,51.11,女,37,高中,9,45,教育
3305,161.93,61.55,男,50,硕士,13,30,教育
3306,155.84,74.41,男,27,本科,10,44,销售
3307,149.84,61.73,女,58,高中,9,40,教育
3308,158.33,72.27,男,43,高中,9,40,服务
3309,150.45,56.15,男,39,博士,12,40,教育
3310,162.21,57.38,女,36,本科,10,35,销售
3311,160.82,69.38,男,56,硕士,13,50,教育
3312,158.39,59.14,男,26,高中,9,55,教育
3313,155.06,58.67,女,23,硕士,13,38,教育
3314,149.28,50.76,男,47,高中,7,40,服务
3315,154.29,44.3,女,68,高中,8,30,销售
3316,153.69,49.26,男,47,本科,10,40,销售
3317,169.96,73.05,男,45,本科,10,40,服务
3318,149.86,44.3,男,26,本科,10,60,教育
3319,164.5,75.04,男,20,高中,9,40,服务
3320,159.23,56.94,女,46,本科,10,40,教育
3321,161.88,82.4,男,37,博士,12,50,服务
3322,151.64,72.05,男,37,本科,10,45,服务
3323,157.89,73.58,男,43,本科,10,42,服务
3324,149.11,49.11,女,59,硕士,14,40,教育
3325,171.3,90.92,女,39,高中,9,40,教育
3326,167.49,65.34,女,32,本科,10,54,教育
3327,163.37,60.0,男,63,本科,10,16,教育
3328,156.12,64.57,男,45,硕士,13,60,教育
3329,149.38,63.64,女,59,硕士,13,40,教育
3330,156.44,57.94,男,36,高中,8,35,教育
3331,164.51,78.77,男,26,高中,9,40,服务
3332,152.38,60.34,女,34,高中,9,40,教育
3333,158.49,46.5,男,41,高中,9,40,教育
3334,158.17,67.72,男,26,高中,9,40,服务
3335,171.48,72.59,女,53,高中,9,40,服务
3336,165.15,65.08,女,33,高中,9,35,教育
3337,154.71,59.5,男,46,硕士,13,50,教育
3338,158.83,76.73,女,79,高中,9,30,教育
3339,170.42,86.5,女,31,高中,9,40,教育
3340,151.32,62.61,男,24,高中,9,40,教育
3341,149.42,71.16,女,57,高中,9,62,教育
3342,153.95,55.46,女,40,高中,9,47,教育
3343,156.78,61.4,男,41,博士,11,84,销售
3344,153.01,71.89,男,20,本科,10,26,教育
3345,147.19,60.39,女,45,高中,7,40,服务
3346,155.09,45.99,女,27,博士,11,40,教育
3347,157.98,46.29,男,36,初中及以下,3,40,教育
3348,163.39,51.98,男,30,高中,9,40,教育
3349,163.02,81.76,女,36,硕士,13,40,教育
3350,150.51,52.52,男,25,高中,9,40,教育
3351,166.93,51.56,女,30,本科,10,25,教育
3352,161.82,70.57,女,31,高中,9,40,教育
3353,153.98,43.78,男,49,高中,9,45,教育
3354,162.43,78.55,男,26,高中,7,20,服务
3355,159.8,78.68,男,25,硕士,13,40,教育
3356,159.92,80.38,女,29,博士,11,40,教育
3357,155.65,71.1,女,24,本科,10,52,教育
3358,158.29,66.01,男,41,高中,9,40,教育
3359,153.19,57.24,男,35,硕士,14,40,教育
3360,165.49,63.33,女,57,硕士,13,40,销售
3361,161.69,47.44,女,21,高中,7,40,销售
3362,154.67,60.45,女,29,高中,6,32,销售
3363,163.81,81.79,男,36,本科,10,40,教育
3364,155.35,61.16,女,20,本科,10,25,教育
3365,169.34,55.69,男,51,硕士,13,40,教育
3366,173.8,85.34,男,39,高中,7,40,服务
3367,167.89,62.9,男,36,硕士,13,50,教育
3368,159.64,65.7,男,40,硕士,15,70,教育
3369,146.3,66.7,男,61,高中,9,50,教育
3370,153.66,72.57,男,38,硕士,15,60,教育
3371,162.35,63.75,男,20,本科,10,35,教育
3372,169.61,75.09,女,21,高中,9,35,教育
3373,149.84,49.66,女,40,高中,9,40,服务
3374,160.09,56.69,男,46,高中,6,45,服务
3375,163.77,72.94,男,21,本科,10,54,服务
3376,163.49,69.7,男,35,高中,6,50,服务
3377,170.92,56.04,男,39,硕士,13,40,销售
3378,160.66,69.0,男,38,高中,9,60,销售
3379,143.67,50.73,女,30,高中,9,40,教育
3380,149.85,47.75,男,28,高中,5,40,服务
3381,167.44,71.19,男,32,硕士,13,40,教育
3382,161.66,49.34,男,46,博士,11,40,教育
3383,169.22,56.1,男,40,博士,11,40,教育
3384,162.92,59.35,女,47,高中,9,40,服务
3385,152.32,42.11,男,44,高中,6,40,服务
3386,161.42,68.12,男,38,高中,9,40,销售
3387,161.31,47.39,男,51,高中,9,20,销售
3388,156.58,52.86,男,46,硕士,13,40,销售
3389,168.36,70.48,男,51,博士,16,60,教育
3390,170.76,63.39,男,45,博士,16,40,教育
3391,158.67,77.14,女,20,本科,10,20,教育
3392,163.5,84.93,男,44,硕士,13,45,教育
3393,156.34,55.72,男,33,博士,11,45,教育
3394,152.58,51.47,女,18,高中,9,30,教育
3395,160.17,80.73,男,61,硕士,15,40,教育
3396,159.17,65.95,女,50,硕士,13,40,教育
3397,160.97,57.54,男,47,高中,9,40,服务
3398,160.05,47.95,男,34,硕士,13,50,教育
3399,153.32,50.35,男,53,高中,9,60,服务
3400,166.56,69.12,男,39,本科,10,40,服务
3401,153.77,61.82,男,58,高中,9,40,服务
3402,158.66,74.87,男,66,高中,9,18,服务
3403,150.15,59.92,男,26,高中,7,50,服务
3404,148.09,55.13,男,41,初中及以下,3,40,教育
3405,162.51,48.06,男,47,本科,10,40,教育
3406,162.41,73.4,男,31,博士,11,40,服务
3407,169.1,87.86,男,52,本科,10,40,教育
3408,170.66,78.28,男,29,博士,12,50,销售
3409,167.87,54.06,女,43,高中,5,50,服务
3410,170.56,83.27,男,42,硕士,14,40,教育
3411,162.27,71.75,女,35,本科,10,30,服务
3412,167.15,83.1,男,41,高中,9,40,服务
3413,158.94,73.41,男,34,硕士,13,60,销售
3414,162.14,65.78,男,52,本科,10,40,销售
3415,149.67,51.69,男,61,本科,10,40,销售
3416,162.2,53.78,男,39,高中,9,40,教育
3417,162.83,66.6,女,19,本科,10,25,销售
3418,161.0,51.68,男,46,硕士,13,40,教育
3419,163.2,53.87,男,39,本科,10,45,教育
3420,158.88,56.1,男,22,本科,10,50,教育
3421,162.84,66.42,女,30,高中,9,40,教育
3422,158.28,77.12,女,40,博士,11,32,教育
3423,164.19,83.61,男,43,硕士,13,40,教育
3424,163.92,69.53,男,37,初中及以下,3,36,教育
3425,163.41,67.58,男,23,博士,12,20,教育
3426,149.55,53.32,男,39,博士,12,59,教育
3427,154.16,47.4,男,54,硕士,14,40,销售
3428,146.49,59.5,男,46,本科,10,60,销售
3429,158.46,55.33,女,20,本科,10,40,服务
3430,154.77,71.73,女,50,硕士,13,50,服务
3431,154.73,47.79,女,17,高中,6,15,销售
3432,150.74,44.16,男,36,高中,9,40,服务
3433,171.95,94.02,男,37,高中,9,45,销售
3434,157.13,75.71,女,53,高中,9,38,销售
